I,V
412.6740E-15,0.0000E+0
529.7711E-15,-200.0000E-3
483.8235E-15,-400.0000E-3
510.6734E-15,-600.0000E-3
541.9833E-15,-800.0000E-3
1.9085E-12,-1.0000E+0
96.3894E-15,-1.2000E+0
77.6116E-15,-1.4000E+0
84.7806E-15,-1.6000E+0
79.3733E-15,-1.8000E+0
91.8285E-15,-2.0000E+0
95.7646E-15,-2.2000E+0
122.1760E-15,-2.4000E+0
97.3924E-15,-2.6000E+0
83.0461E-15,-2.8000E+0
72.9291E-15,-3.0000E+0
103.3897E-15,-3.2000E+0
97.1927E-15,-3.4000E+0
96.9714E-15,-3.6000E+0
98.3273E-15,-3.8000E+0
101.0142E-15,-4.0000E+0
157.5038E-15,-4.2000E+0
88.2876E-15,-4.4000E+0
119.9470E-15,-4.6000E+0
125.6511E-15,-4.8000E+0
177.1529E-15,-5.0000E+0
142.1134E-15,-5.2000E+0
215.0618E-15,-5.4000E+0
213.2117E-15,-5.6000E+0
306.1484E-15,-5.8000E+0
325.7083E-15,-6.0000E+0
401.9168E-15,-6.2000E+0
554.3490E-15,-6.4000E+0
612.8323E-15,-6.6000E+0
854.9886E-15,-6.8000E+0
1.0213E-12,-7.0000E+0
1.2435E-12,-7.2000E+0
1.8220E-12,-7.4000E+0
2.4234E-12,-7.6000E+0
4.5965E-12,-7.8000E+0
21.2114E-12,-8.0000E+0
35.3514E-12,-8.2000E+0
64.0598E-12,-8.4000E+0
86.5494E-12,-8.6000E+0
133.0118E-12,-8.8000E+0
234.9497E-12,-9.0000E+0
211.5886E-12,-8.8000E+0
181.9965E-12,-8.6000E+0
150.7965E-12,-8.4000E+0
125.1521E-12,-8.2000E+0
100.3393E-12,-8.0000E+0
82.7431E-12,-7.8000E+0
63.7841E-12,-7.6000E+0
46.7324E-12,-7.4000E+0
36.5956E-12,-7.2000E+0
29.7850E-12,-7.0000E+0
22.8155E-12,-6.8000E+0
17.8626E-12,-6.6000E+0
14.4865E-12,-6.4000E+0
10.9089E-12,-6.2000E+0
8.4755E-12,-6.0000E+0
6.1094E-12,-5.8000E+0
4.5095E-12,-5.6000E+0
3.6873E-12,-5.4000E+0
2.6734E-12,-5.2000E+0
2.1224E-12,-5.0000E+0
1.7414E-12,-4.8000E+0
1.4876E-12,-4.6000E+0
1.1384E-12,-4.4000E+0
999.2081E-15,-4.2000E+0
850.2213E-15,-4.0000E+0
744.8427E-15,-3.8000E+0
653.2824E-15,-3.6000E+0
582.7134E-15,-3.4000E+0
567.0282E-15,-3.2000E+0
535.1120E-15,-3.0000E+0
525.7737E-15,-2.8000E+0
713.9509E-15,-2.6000E+0
-77.3960E-15,-2.4000E+0
-85.7442E-15,-2.2000E+0
-78.1184E-15,-2.0000E+0
-82.4639E-15,-1.8000E+0
-87.7914E-15,-1.6000E+0
-34.8956E-15,-1.4000E+0
-115.3360E-15,-1.2000E+0
-120.6772E-15,-1.0000E+0
-1.8910E-15,-800.0000E-3
-4.9727E-15,-600.0000E-3
-20.4436E-15,-400.0000E-3
-78.7277E-15,-200.0000E-3
-71.7087E-15,0.0000E+0
-564.2861E-18,200.0000E-3
-87.0683E-15,400.0000E-3
-107.3825E-15,600.0000E-3
-110.0951E-15,800.0000E-3
-101.8748E-15,1.0000E+0
-55.7814E-15,1.2000E+0
-71.0375E-15,1.4000E+0
-84.6787E-15,1.6000E+0
-75.4731E-15,1.8000E+0
-71.1335E-15,2.0000E+0
-148.4184E-15,2.2000E+0
-115.8300E-15,2.4000E+0
-52.1863E-15,2.6000E+0
-125.4378E-15,2.8000E+0
-85.2183E-15,3.0000E+0
-111.3185E-15,3.2000E+0
-126.6306E-15,3.4000E+0
-100.6477E-15,3.6000E+0
-122.6915E-15,3.8000E+0
-114.4899E-15,4.0000E+0
-154.5810E-15,4.2000E+0
-200.8610E-15,4.4000E+0
-224.5042E-15,4.6000E+0
-506.7571E-15,4.8000E+0
-1.2091E-12,5.0000E+0
-2.6773E-12,5.2000E+0
-9.0109E-12,5.4000E+0
-14.3596E-12,5.6000E+0
-21.7631E-12,5.8000E+0
-38.6330E-12,6.0000E+0
-56.5741E-12,6.2000E+0
-82.0314E-12,6.4000E+0
-117.3139E-12,6.6000E+0
-159.8346E-12,6.8000E+0
-227.4053E-12,7.0000E+0
-315.0091E-12,7.2000E+0
-437.9353E-12,7.4000E+0
-681.9664E-12,7.6000E+0
-944.1106E-12,7.8000E+0
-1.3650E-9,8.0000E+0
-1.8984E-9,8.2000E+0
-2.7460E-9,8.4000E+0
-3.7496E-9,8.6000E+0
-5.1976E-9,8.8000E+0
-7.6413E-9,9.0000E+0
-6.5681E-9,8.8000E+0
-5.3345E-9,8.6000E+0
-4.2876E-9,8.4000E+0
-3.4354E-9,8.2000E+0
-2.7196E-9,8.0000E+0
-2.2330E-9,7.8000E+0
-1.7540E-9,7.6000E+0
-1.4001E-9,7.4000E+0
-1.1134E-9,7.2000E+0
-891.1313E-12,7.0000E+0
-722.9000E-12,6.8000E+0
-570.2769E-12,6.6000E+0
-444.2911E-12,6.4000E+0
-343.3586E-12,6.2000E+0
-272.7338E-12,6.0000E+0
-215.1020E-12,5.8000E+0
-167.0881E-12,5.6000E+0
-128.4519E-12,5.4000E+0
-99.4159E-12,5.2000E+0
-77.5340E-12,5.0000E+0
-59.2539E-12,4.8000E+0
-45.3099E-12,4.6000E+0
-31.1169E-12,4.4000E+0
-22.7237E-12,4.2000E+0
-16.3283E-12,4.0000E+0
-12.2113E-12,3.8000E+0
-8.9805E-12,3.6000E+0
-6.1542E-12,3.4000E+0
-4.4149E-12,3.2000E+0
-2.2791E-12,3.0000E+0
-1.3078E-12,2.8000E+0
306.0282E-15,2.6000E+0
-777.0199E-15,2.4000E+0
-415.4088E-15,2.2000E+0
-236.8054E-15,2.0000E+0
-137.0524E-15,1.8000E+0
-50.6423E-15,1.6000E+0
45.6093E-15,1.4000E+0
83.5494E-15,1.2000E+0
54.4916E-15,1.0000E+0
116.7913E-15,800.0000E-3
72.1827E-15,600.0000E-3
100.8755E-15,400.0000E-3
115.9817E-15,200.0000E-3
114.8554E-15,0.0000E+0
