I,V
13.3843E-9,10.0000E+0
9.8918E-9,9.7500E+0
7.2579E-9,9.5000E+0
5.3168E-9,9.2500E+0
3.8980E-9,9.0000E+0
2.8663E-9,8.7500E+0
2.1263E-9,8.5000E+0
1.5971E-9,8.2500E+0
1.2196E-9,8.0000E+0
946.0001E-12,7.7500E+0
752.4460E-12,7.5000E+0
614.7758E-12,7.2500E+0
510.1465E-12,7.0000E+0
431.3176E-12,6.7500E+0
370.9978E-12,6.5000E+0
325.5666E-12,6.2500E+0
293.9025E-12,6.0000E+0
253.0093E-12,5.7500E+0
220.3764E-12,5.5000E+0
196.1567E-12,5.2500E+0
170.2033E-12,5.0000E+0
147.8191E-12,4.7500E+0
123.1405E-12,4.5000E+0
100.8073E-12,4.2500E+0
78.3212E-12,4.0000E+0
55.5292E-12,3.7500E+0
34.7767E-12,3.5000E+0
11.7297E-12,3.2500E+0
-11.4193E-12,3.0000E+0
-30.3362E-12,2.7500E+0
-55.3208E-12,2.5000E+0
-74.1357E-12,2.2500E+0
-91.5229E-12,2.0000E+0
-113.2442E-12,1.7500E+0
-140.5743E-12,1.5000E+0
-158.4714E-12,1.2500E+0
-176.9804E-12,1.0000E+0
-197.5783E-12,750.0000E-3
-223.0192E-12,500.0000E-3
-243.9736E-12,250.0000E-3
-266.7633E-12,0.0000E+0
-287.8706E-12,-250.0000E-3
-311.2723E-12,-500.0000E-3
-334.3169E-12,-750.0000E-3
-358.1774E-12,-1.0000E+0
-384.7909E-12,-1.2500E+0
-404.5727E-12,-1.5000E+0
-427.4135E-12,-1.7500E+0
-455.0977E-12,-2.0000E+0
-485.3311E-12,-2.2500E+0
-510.8230E-12,-2.5000E+0
-538.4563E-12,-2.7500E+0
-569.1485E-12,-3.0000E+0
-599.4329E-12,-3.2500E+0
-631.2978E-12,-3.5000E+0
-667.9042E-12,-3.7500E+0
-702.1144E-12,-4.0000E+0
-740.9131E-12,-4.2500E+0
-783.4847E-12,-4.5000E+0
-829.3701E-12,-4.7500E+0
-876.8871E-12,-5.0000E+0
-932.6123E-12,-5.2500E+0
-989.2045E-12,-5.5000E+0
-1.0516E-9,-5.7500E+0
-1.1197E-9,-6.0000E+0
-1.2011E-9,-6.2500E+0
-1.2956E-9,-6.5000E+0
-1.3883E-9,-6.7500E+0
-1.4938E-9,-7.0000E+0
-1.6179E-9,-7.2500E+0
-1.7645E-9,-7.5000E+0
-1.9211E-9,-7.7500E+0
-2.1152E-9,-8.0000E+0
-2.3515E-9,-8.2500E+0
-2.6417E-9,-8.5000E+0
-3.0258E-9,-8.7500E+0
-3.5130E-9,-9.0000E+0
-4.1486E-9,-9.2500E+0
-4.9490E-9,-9.5000E+0
-5.9167E-9,-9.7500E+0
-7.0792E-9,-10.0000E+0
